HOUSE_ID,PV_TOTAL_SIZE,BATTERY_SIZE,RSOC,PV_PRODUCTION,CONSUMPTION,EXCHANGE_CHARGE,EXCHANGE_DISCHARGE,SURPLUS,SHORTAGE,SELF_SUFFICIENT,ESS_LOSS,DCDC_LOSS
Community,66756.0,190000.0,60.08,1.048572E8,9.299162809E7,1.412458333E7,-1.414325E7,2568116.98,1.938651149E7,79.99,2.279920763E7,5378825.12
1,2796.0,10000.0,73.65,5518800.0,2281218.031,110250.0,-1740750.0,363671.599,173116.901,92.72,1075840.4,332323.306
2,2796.0,10000.0,53.33,5518800.0,6650023.241,1010625.0,-305833.333,27254.83,1985937.568,71.31,1242772.538,248483.662
3,4194.0,10000.0,59.42,5518800.0,4561511.488,480958.333,-880250.0,323690.633,1233635.303,74.06,1134207.876,303160.104
4,2880.0,10000.0,47.83,5518800.0,7272158.211,1870916.667,-5000.0,2147.571,1539872.493,79.66,1351364.351,263338.158
5,2880.0,10000.0,70.15,5518800.0,3619344.184,140875.0,-527125.0,83094.218,61220.936,98.38,1209758.879,273760.205
6,2880.0,10000.0,55.59,5518800.0,6030730.354,660458.333,-438625.0,41275.905,1837253.693,70.73,1209363.071,259045.555
7,2796.0,10000.0,78.84,5518800.0,1713652.277,80083.333,-2174000.0,396594.687,70156.616,96.07,1038203.165,338362.607
8,4194.0,10000.0,50.79,5518800.0,6025704.197,989666.667,-11166.667,762.144,1066289.893,83.03,1284947.753,223832.338
9,2796.0,10000.0,61.9,5518800.0,4316002.511,302708.333,-335791.667,26002.839,342518.216,92.4,1229733.607,242359.858
10,2880.0,10000.0,62.31,5518800.0,4112173.98,316916.667,-598333.333,174083.68,535492.688,87.54,1177548.093,289334.743
11,4320.0,10000.0,80.65,5518800.0,1198634.083,250.0,-2513291.667,447641.216,49.437,100.0,1001270.884,351127.601
12,2880.0,10000.0,48.11,5518800.0,7779743.054,1374583.333,-30833.333,7699.548,2522491.448,68.84,1284551.596,263679.223
13,4194.0,10000.0,48.89,5518800.0,7305335.286,1447583.333,-55583.333,11251.02,2004410.191,73.66,1291100.299,263005.241
14,4320.0,10000.0,63.54,5518800.0,4198030.9,501583.333,-618125.0,68222.56,381188.207,91.3,1215942.926,286005.409
15,4320.0,10000.0,57.41,5518800.0,4654680.45,552208.333,-294875.0,30204.223,428947.58,91.17,1249537.973,253491.177
16,4320.0,10000.0,48.49,5518800.0,7481112.133,1504291.667,-61416.667,13926.72,2132809.133,72.62,1294331.621,260674.692
17,4194.0,10000.0,50.21,5518800.0,6616266.404,1119625.0,-52625.0,8736.249,1594959.249,76.86,1278096.618,240536.452
18,4320.0,10000.0,49.34,5518800.0,6883672.019,1661000.0,-106416.667,35915.283,1476148.398,79.43,1310993.01,284286.797
19,2796.0,10000.0,81.09,5518800.0,291635.288,0.0,-3393208.333,505942.058,13.542,100.0,919642.974,402017.989
